,jngIfrmpRgsno,brno,crno,corpNm,brandNm,jnghdqrtrsRprsvNm,indutyLclasNm,indutyMlsfcNm,jngBizStrtDate,jngIfrmpRgsDt,yr,ifrmpRlsDocRgsDate,ifrmpRlsDocExstYn
7850,20230857,6103063100,,마라퀸,마라퀸,류지철,외식,중식,,1686841200000,2023,,N
7851,202308571,8948800359,1701110592601,씨지에프(주),깨꼬닭,조재창,외식,한식,,1686841200000,2023,,N
7852,20230858,7434000710,,막잔본점,막잔,임현국,외식,주점,20210425,1686841200000,2023,,N
7853,20230859,7634200891,,향촌흑염소가든,향촌흑염소가든,"박광석,진상희",외식,한식,,1686841200000,2023,,N
7854,20230860,5272101697,,킬맨참치,킬맨참치,이상범,외식,일식,,1686841200000,2023,,N
7855,20230861,1322458329,,장터집,장터집,이수화,외식,한식,,1686841200000,2023,,N
7856,20230862,1754800136,,구스카토,구스카토,박규현,외식,커피,20210802,1686841200000,2023,,N
7857,20230863,4391501609,,진교동찜닭,진교동찜닭,"고은비, 박준상",외식,한식,,1686841200000,2023,,N
7858,20230864,6848802750,1348110731564,(주)태성에프앤비,짚불태백,강성호,외식,한식,,1686841200000,2023,,N
7859,20230865,6848802750,1348110731564,(주)태성에프앤비,고랭지 태백집,강성호,외식,한식,,1686841200000,2023,,N
7860,20230866,1620402338,,일층커피_1F, 일층커피(ONE FLOOR COFFEE),윤재훈,외식,커피,20210906,1686841200000,2023,,N
7861,20230867,1470200899,,진쌈(진짜보쌈),진쌈(진짜보쌈),진병곤,외식,한식,,1686841200000,2023,,N
7862,20230868,4630702149,,골목안채,골목안채,김승희,외식,한식,,1686841200000,2023,,N
7863,20230869,8021701908,,밥에큐치킨,밥에큐 치킨 ,김군록,외식,치킨,,1686841200000,2023,,N
7864,20230870,4920701702,,진푸드,럭키족발,김진하,외식,한식,20210710,1686841200000,2023,,N
7865,20230871,6370501427,,연고기,연고기,박상연,외식,한식,,1686841200000,2023,,N
7866,20230872,8061301751,,보울스,보울스(BOWLS),신철우,외식,기타 외식,,1686841200000,2023,,N
7867,20230873,3808601646,1801111255529,(주)비비다컴,오엑스피씨,박지환,서비스,PC방,20200622,1686841200000,2023,,N
